Category,Address,Municipality,Price,Tenant,Land Use,Land Area,Sub Type,Event Date,Vendor,Vendor Signing Officer,Vendor Address,Purchaser,Purchaser Signing Officer,Purchaser Address,Mortgage Type 1,Primary Lender 1,Secondary Lender 1,Tertiary Lender 1,Interest Rate 1,Principal Amount 1,Calculation Period 1,Payment Frequency 1,Payment Amount 1,Commencement Date 1,Maturity Date 1,Instrument Date 1,See Remarks 1,Mortgage Type 2,Primary Lender 2,Secondary Lender 2,Tertiary Lender 2,Interest Rate 2,Principal Amount 2,Calculation Period 2,Payment Frequency 2,Payment Amount 2,Commencement Date 2,Maturity Date 2,Instrument Date 2,See Remarks 2,Mortgage Type 3,Primary Lender 3,Secondary Lender 3,Tertiary Lender 3,Interest Rate 3,Principal Amount 3,Calculation Period 3,Payment Frequency 3,Payment Amount 3,Commencement Date 3,Maturity Date 3,Instrument Date 3,See Remarks 3,Mortgage Type 4,Primary Lender 4,Secondary Lender 4,Tertiary Lender 4,Interest Rate 4,Principal Amount 4,Calculation Period 4,Payment Frequency 4,Payment Amount 4,Commencement Date 4,Maturity Date 4,Instrument Date 4,See Remarks 4
Retail,"1 Main Street South
11 Main Street South",Brampton,"$6,150,000 ",Single Tenant,,,Free Standing,6/28/2019,Queenscorp Group (2688303 Ontario Limited),"Mark Bozzo, President", 1 - 11 Main Street South    -   2019-04-29,1493591 Ontario Inc.  - Private Investor - Canadian,"Rehan Cahudary, ASO","7 Queen Street West, Brampton, Ontario, L6Y 1L9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,5321 Yonge Street,North York,"$2,624,700 ",Multi Tenant,,,Streetfront,6/27/2019,2399513 Ontario Ltd.,"Mehrdad Arjomandi and Parviz Haghgouye-Tehrani, ASOs", 5321 Yonge Street    -   2014-02-28,5321 DTR Properties Inc.  - Private Investor - Canadian,"Italo Di Felice, ASO","30 Gardiner Crescent, Richmond Hill, Ontario, L4B 2G7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,24 Bramalea Road,Brampton,"$3,600,000 ",Single Tenant,,,Automotive,6/27/2019,Sirpal Holdings Limited,"Rakesh Sirpal, Director/President","49 Alderberry Crescent, Brampton, Ontario, L6T 1P5",Mann's Truck Sales & Leasing Inc. (2695214 Ontario Inc.)   ,"Kuljit Mann, ASO","311 Clarence Street, Brampton, Ontario, L6W 1T6",Subsequent - Demand Debenture,Royal Bank of Canada,,,Royal Bank's Prime Rate plus 5% per annum,"$3,600,000.00 ",,,,,,6/27/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,666 Burnhamthorpe Road,Etobicoke,"$35,000,000 ",Multi Tenant,,,Community Shopping Centre,6/27/2019,Jeli Holdings Inc.,"Philip Abramson, ASO","36 Eglinton Avenue West, Suite 606, Toronto, ON, M4R 1A1",Zoran Realty Partners No. 3 Limited  - Private Investor - Canadian,"Zoran Churchin, ASO","75 International Blvd., Suite 400, Toronto, ON, M9W 6L9",Subsequent,Manulife Bank of Canada,,,25.0% per annum,"$21,000,000.00 ",Monthly,Monthly,,,,6/27/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1606 Danforth Avenue,Old Toronto,"$1,500,000 ",Single Tenant,,,Streetfront,6/27/2019,2117877 Ontario Limited,"Aristotle Koutlemanis, ASO","96 Silvio Avenue, Toronto, Ontario, M1K 1V3",Threelex Holdings Limited  - Private Investor - Canadian,"Tom Lexovsky, ASO","86 Brentcliff Road, Toronto, Ontario, M4G 3Y6",Subsequent - Demand Debenture,Alterna Bank,,,18%,"$2,350,000.00 ",,,,,,6/27/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1311 Weston Road,York,"$1,045,000 ",Multi Tenant,,,Automotive,6/26/2019,An individual(s) acting in his/her own capacity,,"Jim Liao, President",2692558 Ontario Inc.  - Private Investor - Canadian,"Jim Liao, President","1311 Weston Road, Toronto, Ontario",Subsequent - Demand Debenture,Business Development Bank of Canada,,,Business Development Bank of Canada's Base Rate plus 10.0%,"$100,000.00 ",Monthly,Monthly,,,,6/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"17 Simcoe Street North
19 Simcoe Street North
21 Simcoe Street North",Oshawa,"$1,117,000 ",Multi Tenant,,,Streetfront,6/26/2019,An individual(s) acting in his/her own capacity,,"Rosemarie Lall, ASO",BFLP Properties Inc.  - User,"Rosemarie Lall, ASO","17-19-21 Simcoe Street North, Oshawa, Ontario, L1G 4R7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,701 The Queensway Avenue,Etobicoke,"$1,330,000 ",Multi Tenant,,,Streetfront,6/26/2019,2305468 Ontario Corporation,"Simon Stanescu and Elizabeth Sadowska, Director and Secretary","81 The Westway, Toronto, Ontario, M9P 2B4",2697731 Ontario Inc.  - Private Investor - Canadian,"Domenic Parente, ASO","42 Avenue Road, Richmond Hill, Ontario, L4C 6B9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"Unit 132, 1065 Canadian Place
Unit 133, 1065 Canadian Place",Mississauga,"$1,035,000 ",Multi Tenant,,,Other,6/26/2019,2236310 Ontario Inc.,"Khizar Hayat Malik, President"," Units 132, 133, 206 & 208, 1065 Canadian Place    -   2010-10-01",Elite Intercontinental Property Management Corp.  - Private Investor - Canadian,"Amanda Bui, ASO","4020 Parkside Village Drive, Unit 5, Mississauga, Ontario, L5B 0K2",Subsequent,Royal Bank of Canada,,,Prime rate plus 5.0% per annum,"$300,000.00 ",Monthly,Monthly,,,,6/27/2019,,Subsequent,Royal Bank of Canada,,,Prime rate plus 5.0% per annum,"$300,000.00 ",Monthly,Monthly,,,,6/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1162 Queen Street West,Old Toronto,"$3,300,000 ",Multi Tenant,,,Streetfront,6/25/2019,An individual(s) acting in his/her own capacity,,"James Schmalz, ASO",Jaywalker Enterprises Inc.  - Private Investor - Canadian,"James Schmalz, ASO","183 Wellington Street West, Suite 4504, Toronto, ON, M5V 0A1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,935 Queen Street East,Old Toronto,"$2,475,000 ",Multi Tenant,,,Streetfront,6/25/2019,Clink Holdings Inc.,"Christine Link, President","35 Springbank Avenue, Toronto, Ontario, M1N 1G2",Qcar Holdings Inc.  - Private Investor - Canadian,"Ian Gragtmans, ASO","311 Bay Street, Suite 4105, Toronto, ON, M5H 4G5",Subsequent - Demand Debenture,Kingsett Mortgage Corporation,,,RBC Prime rate plus 2.0% per annum,"$1,856,250.00 ",Monthly,Monthly,,,,6/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,9 Beech Street,Brampton,"$1,900,000 ",Single Tenant,,,Automotive,6/24/2019,Bramcity Transmission & Auto (852787 Ontario Limited),"William Stellings, ASO","367 Mill Street South, Brampton, Ontario, L6Y 3H6",2682557 Ontario Inc.  - User,"Hardeep Singh Gosal, ASO","9 Beech Street, Brampton, Ontario, L6V 1V2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,6162 Main Street,Whitchurch-Stouffville,"$3,100,000 ",Multi Tenant,,,Free Standing,6/24/2019,Magnetic Realty Investments Inc.,"Leslie Morocz and Jack Chang, Secretary and President","21202 Mueller Lane, Port Perry, Ontario, L9L 1B6",2248996 Ontario Limited  - Private Investor - Canadian,"Kelly Carrick, ASO","180 Renfrew Drive, Suite 120, P.O. Box 130, Markham, Ontario, L3R 9Z2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1059 Bloor Street West,Old Toronto,"$3,000,000 ",Multi Tenant,,,Streetfront,6/21/2019,Trochatos Family Holdings Inc.,"Efstanthios Steve Trochatos, President","21 Heyden Park Road, Toronto, Ontario, M6J 2C7",5015433 Ontario Inc.  - Private Investor - Canadian,"Jae Ho Lee, ASO","1717 Avenue Road, PH 1, Toronto, Ontario, M5M 0A2",Subsequent,Shinhan Bank Canada,,,Shinhan Bank Canada Prime Rate plus 0.8%,"$1,500,000.00 ",Monthly,Monthly,,7/21/2019,6/21/2020,6/21/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"424 Danforth Avenue
426 Danforth Avenue",Old Toronto,"$6,800,000 ",Multi Tenant,,,Streetfront,6/21/2019,2590342 Ontario Limited,"Corazon Tan, President", 426 Danforth Avenue    -   2016-01-05,426 Danforth GP Inc.  - Private Investor - Canadian,"Mark Attanasio, President","c/o Mark Attanasio, 20 Wellington Street East, Suite 500, Toronto, Ontario, M5E 1C5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,7220 Tranmere Drive,Mississauga,"$3,300,000 ",Single Tenant,,,Place of Worship,6/21/2019,1596632 Ontario Inc.,"Maria Da Costa, Secretary","c/o Martin Z. Goose, 555 Burnhamthorpe Road, Unit 405, Toronto, Ontario, M9C 2Y3",2692021 Ontario Inc.  - User,"Inder Singh Puri and Manprit Singh Bassi, ASO","7220 Tranmere Drive, Mississauga, Ontario, L5S 1L6",Subsequent - Demand Debenture,Royal Bank of Canada,,,Royal Bank's Prime Rate plus 5% per annum,"$3,300,000.00 ",Monthly,,,,,6/21/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"Church Street
Front Street East",Old Toronto,"$15,650,000 ",Multi Tenant,,,Other,6/20/2019,Concert Properties Limited (Concert Real Estate Corporation),"Andrew Tong and Brian McCauley, Senior Vice President, Investments and President, CEO", 12 Church Street    -   2009-01-19,DH Management (Berczy Place Inc.)  - Private Investor - Canadian,"Nina Wine, ASO","c/o DH Management, 180 Shorting Road, Toronto, Ontario, M1S 3S7",Subsequent,Royal Bank of Canada,,,18.0% per annum,"$8,000,000.00 ",Semi-annually,Monthly,"$117,310.39 ",8/1/2019,7/1/2024,6/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1643 Bayview Avenue,Old Toronto,"$1,700,000 ",Multi Tenant,,,Streetfront,6/20/2019,B to B Maternity (Armastus Holdings Ltd.),"Kirsten Torokvei, ASO", 1643 Bayview Avenue    -   2015-02-27,2694290 Ontario Ltd.  - Private Investor - Canadian,"Al Kerimovski, ASO","1643 Bayview Avenue, Toronto, Ontario",VTB,Vendor Financed,,,See Remarks,"$1,020,000.00 ",Monthly,Monthly,,,,6/20/2019,"Interest Rate: 5.5% for first year of term, 6.0% for the second year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2527 Yonge Street,Old Toronto,"$2,400,000 ",Multi Tenant,,,Streetfront,6/19/2019,1351657 Ontario Limited,"Sam Chang, ASO","Sam Chang, ASO",2527 Yonge Street Corporation  - Private Investor - Canadian,"Claudio Battaglin, ASO","2527 Yonge Street, Toronto",Subsequent - Demand Debenture,The Bank of Nova Scotia,,,The Bank of Nova Scotia's Prime Lending Rate plus 6% per annum,"$2,800,000.00 ",,,,,,6/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"Unit 210, 165 Eglinton Avenue East",Old Toronto,"$1,009,503 ",Multi Tenant,,,Streetfront,6/18/2019,Menkes Developments (Residences at the Eglinton Ltd.),"Mark Karam, ASO","Mark Karam, ASO",JDL Group (2540876 Ontario Inc.)  - Private Investor - Canadian,"Lizzie Li, ASO","#106, 95 Mural Street, Richmond Hill, Ontario, L4R 3G2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,602 Mount Pleasant Road,Old Toronto,"$1,785,000 ",Multi Tenant,,,Streetfront,6/18/2019,Sherwood Custom Homes (1888079 Ontario Inc.),"Judy Moore, ASO","Judy Moore, ASO",LSD The Agency (2226565 Ontario Inc.)  - User,"Lita Dipucchio, ASO","75 Scollard Street, Toronto, Ontario, M5R 1G4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1345 Martin Grove Road,Etobicoke,"$7,000,000 ",Single Tenant,,,Gas Station,6/18/2019,1307564 Ontario Ltd.,"Kewal Dosanjh, ASO","189 Wincott Drive, Toronto, Ont.",2684560 Ontario Limited  - User,"Thusijanthan Sivarajah, ASO","129 Canada Drive, Vaughan, Ontario, L4H 0E6",VTB,Vendor Financed,,,6.5% per annum,"$4,500,000.00 ",Semi-annually,Monthly,"$30,142.07 ",7/14/2019,6/14/2022,6/18/2019,,Subsequent,An individual(s) acting in his/her own capacity,,,9.0% per annum,"$2,500,000.00 ",Monthly,Monthly,"$18,750.00 ",7/14/2019,6/14/2020,6/18/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"5810 Sheppard Avenue East
5818 Sheppard Avenue East",Scarborough,"$4,725,000 ",Multi Tenant,,,Strip/Convenience,6/14/2019,Ontario Superior Court of Justice,, 5810-5818 Sheppard Avenue East    -   2001-12-14,2647766 Ontario Inc.  - Private Investor - Canadian,"Rachhpal Basra, ASO","10 Nightfall Court, Kleinburg, Ontario",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal prime rate + 5.0% per annum,"$4,500,000.00 ",,,,,,6/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,673 Danforth Avenue,Old Toronto,"$1,523,000 ",Multi Tenant,,,Streetfront,6/14/2019,An individual(s) acting in his/her own capacity,,"Seongeun Jun, ASO",2700614 Ontario Inc.  - Private Investor - Canadian,"Seongeun Jun, ASO","201 Harlandale Avenue, Toronto, Ontario, M2N 1P6",VTB,Vendor Financed,,,4.75% per annum,"$850,000.00 ",Semi-annually,Monthly,"$4,823.39 ",7/14/2019,6/14/2024,6/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2454 Bayview Avenue,North York,"$10,250,000 ",Single Tenant,,,School,6/12/2019,368230 Ontario Limited,"Stanley Bernstein, ASO", 2454 Bayview Avenue    -   2006-05-31,Capital Investment II Inc.  - Private Investor - Canadian,"Li Chen, ASO","2454 Bayview Avenue, North York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,17A Finch Avenue West,North York,"$1,600,000 ",Multi Tenant,,,Other,6/11/2019,An individual(s) acting in his/her own capacity,,"Hee Ik Kim, ASO",2697685 Ontario Inc.  - Private Investor - Canadian,"Hee Ik Kim, ASO","5460 Yonge Street, Suite 405, Toronto, Ontario, M2N 6K7",Subsequent - Demand Debenture,Keb Hana Bank Canada,,,N/A,"$670,000.00 ",,,,,,6/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,12 Laidlaw Boulevard,Markham,"$2,600,000 ",Multi Tenant,,,Automotive,6/7/2019,1048661 Ontario Limited,"Brian Lee, ASO","C/O 213 Byron Street South, Whitby, Ontario, L1N 4P7",Zegas Group Ltd. (2699372 Ontario Inc.)  - Private Investor - Canadian,"Kiriakos Zegas, ASO","12 Centre Street, Markham, Ontario, L3P 2N8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1173 Davenport Road,Old Toronto,"$1,475,000 ",Multi Tenant,,,Streetfront,6/7/2019,Autumn Cedar Inc.,"Ryan Brooks, ASO","Ryan Brooks, ASO",2010096 Ontario Inc.  - Private Investor - Canadian,"Valerie Grundy and Eric Grundy, ASOs","1173 Davenport Rd., Toronto, ON, M6H 2G8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2252 Queen Street East,Old Toronto,"$1,922,000 ",Multi Tenant,,,Streetfront,6/7/2019,2452890 Ontario Inc.,"Anna Marchese, President","1 Nickel Gate, Unit #9, Woodbridge, Ontario, L4L 8L7",2695113 Ontario Inc.  - Private Investor - Canadian,"Taik Gil Oh, ASO","66 Macamo Court, Maple, Ontario, L6A 1G1",Subsequent - Demand Debenture,Keb Hana Bank Canada,,,N/A,"$1,000,000.00 ",,,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1329 Martin Grove Road,Etobicoke,"$2,700,000 ",Multi Tenant,,,Streetfront,6/7/2019,1480363 Ontario Limited,"Esther Broomfield, ASO","46 Ashdale Crescent, Bowmanville, Ontario, L1C 3M9",Proficient Investment Inc.  - Private Investor - Canadian,"Shahabuddin Darwish, ASO","1329 Martin Grove Road, Toronto",Subsequent,2689918 Ontario Inc.,,,8.0% per annum,"$1,900,000.00 ",Monthly,Monthly,"$12,666.67 ",8/1/2019,7/1/2020,6/7/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,200 Aberdeen Avenue,Vaughan,"$21,126,000 ",Single Tenant,,,School,6/6/2019,York Catholic District School Board,"Ab Falconi, Director of Education","320 Bloomington Road West, Aurora, Ontario, L4G 0M1",Conseil Scolaire Catholique Monavenir  - Institution,"Andre Blais and Dereck Chin, ASOs","110 Drewry Avenue, Toronto, Ontario, M2M 1C8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,312 Wilson Avenue,North York,"$1,350,000 ",Multi Tenant,,,Streetfront,6/5/2019,An individual(s) acting in his/her own capacity,, 312 Wilson Avenue    -   2017-09-22,"An individual(s) acting in his/her own capacity (as to an undivided 50% interest)   
BDS Estate Limited (as to an undivided 50% interest)  - Private Investor - Canadian","Balvinder Kaur, Darren Wylie and Satwinder Kaur, ASOs","32 Wilson Avenue, Toronto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,349 Queen Street West,Old Toronto,"$13,250,000 ",Multi Tenant,,,Streetfront,6/5/2019,F. K. Y. Investments Limited,"Fred Yeung, President","Fred Yeung, President",Kevin Fu Holding Inc.  - Private Investor - Canadian,"Benjamin Fu, ASO","24-A Phoebe Street, Toronto, ON, M5T 2Z3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"Unit 101, 755 Queensway East",Mississauga,"$1,835,200 ",Multi Tenant,,,,6/4/2019,Nova Ridge (Queensway) GP Corp.,"Michael Butler, ASO", 755 Queensway East    -   2016-10-12,2689989 Ontario Inc.  - User,"Steve Viola and David Viola, ASO","755 Queensway East, Suite 101, Mississauga, Ontario, L4Y 4C5",Subsequent,Business Development Bank of Canada,,,10.00% per year,"$1,050,000.00 ",Monthly,Monthly,,,,6/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2244 Bloor Street West,Old Toronto,"$2,200,000 ",Multi Tenant,,,Streetfront,6/4/2019,An individual(s) acting in his/her own capacity,,"Nancy Fattore, ASO",1017396 Ontario Ltd.  - Private Investor - Canadian,"Nancy Fattore, ASO","2009A Avenue Road, Toronto, Ontario, M5M 4A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,3425 Yonge Street,Old Toronto,"$1,500,000 ",Multi Tenant,,,Streetfront,6/4/2019,Dunbar and Ross Limited,"Norma Marshall, ASO","Norma Marshall, ASO",2665968 Ontario Inc.  - Private Investor - Canadian,"Mehdy Ajvand, ASO","1215 Royal York Road, Toronto, Ontario, M9A 4B5",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal prime rate + 5.0% per annum,"$1,200,000.00 ",Monthly,,,,,6/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2873 Lake Shore Boulevard West,Etobicoke,"$2,000,000 ",Single Tenant,,,Free Standing,6/4/2019,Godfrey Core Inc.,"Jill Cherniak, ASO","Godfrey Core Inc., c/o Jill Cherniak, 9 Wilton Trail, Aurora, ON, L4G 7S9",Lightpoint Properties Inc. (Lightpoint (2873 Lake Shore Toronto) Inc.)  - Private Investor - Canadian,"Deepak Dhawan, ASO","805 - 80 Richmond Street West, Toronto, Ontario, M5H 2A4",Subsequent - Demand Debenture,Canadian Imperial Bank of Commerce,,,Canadian Imperial Bank of Commerce prime rate + 5.0% per annum,"$1,600,000.00 ",,,,,,6/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1423 Dufferin Street,Old Toronto,"$2,525,000 ",Multi Tenant,,,Streetfront,6/3/2019,2552687 Ontario Inc.,"Monica Gomez, President","Monica Gomez, President",11216368 Canada Inc.  - Private Investor - Canadian,"Temitope Isaac Oladapo Olowolafe, ASO","Unit 1, McAdam Avenue, Toronto, Ontario",Subsequent,Wavecom Capital Inc.,,,See Remarks,"$2,000,000.00 ",Monthly,Monthly,,7/1/2019,7/1/2020,6/3/2019,"Months 1 - 12: the greater of 9.50% per annum or RBC Commercial Lending Rate plus 5.55% per annum, calculated and compounded monthly Month 13: the greater of 11.50% per annum or RBC Commercial Lending Rate plus 7.55% per annum, calculated and compounded monthly",Subsequent,Acacia Point Mortgage Fund Inc.,,,See Remarks,"$500,000.00 ",Monthly,Monthly,,7/1/2019,7/1/2020,6/3/2019,"The charge is also registered against PIN 76708-0568 Months 1 - 12: the greater of 12.99% per annum or RBC Commercial Lending Rate plus 9.04%, calculated and compounded monthly Month 13: the greater of 13.99% per annum or RBC Commercial Lending Rate plus 10.04%, calculated and compounded monthly",,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,928 Pape Avenue,East York,"$1,250,000 ",Multi Tenant,,,Streetfront,6/3/2019,1843221 Ontario Inc.,"Georgios Togias and Constantina Togias, ASOs","512 Northcliffe Boulevard, Toronto, Ontario, M6E 3L5",An individual(s) acting in his/her own capacity   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,"2185 Sheppard Avenue East
2187 Sheppard Avenue East
2189 Sheppard Avenue East
2191 Sheppard Avenue East
2193 Sheppard Avenue East
2195 Sheppard Avenue East",North York,"$3,818,077 ",Multi Tenant,,,Streetfront,6/3/2019,Tridel (Residences at Atria Inc.),"Len Gigliotti and Edmond Chow, Secretary and Treasurer","4800 Dufferin Street, Toronto, Ontario, M3H 5S9",Lakeside Mews Canada Inc.  - Private Investor - Canadian,"Patrick Olayele Akinkuotu, ASO","1 Old Mill Drive, GPH6, York, Ontario, M6S 0A1",Subsequent,Equitable Bank,,,Equitable Bank's Prime Rate plus 1.44%,"$2,600,000.00 ",Monthly,Monthly,,8/5/2019,7/5/2024,6/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2 Mountainview Road South,Halton Hills,"$1,150,000 ",Single Tenant,,,Free Standing,6/3/2019,Grand Beach Housing Limited,"Adam Wolff, ASO","22 Lyonsgate Drive Toronto, Ontario, M3H 1C8",2684665 Ontario Inc.  - Private Investor - Canadian,"Kamal Preet Kaur Grewal & Amandeep Singh Sangha, ASO","5304 Roanoke Court, Mississauga, Ontario, L5M 5H8",Subsequent,The Toronto-Dominion Bank,,,5% per annum,"$1,150,000.00 ",Monthly,Monthly,,,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1728 Lakeshore Road West,Mississauga,"$1,900,000 ",Multi Tenant,,,Strip/Convenience,6/3/2019,An individual(s) acting in his/her own capacity,,"Vikas Soota, ASO",South Brampton Dental (1728 Lakeshore Investments Inc.)  - Private Investor - Canadian,"Vikas Soota, ASO","499 Main Street, Suite 60E, Brampton, Ontario, L6Y 1N7",Subsequent,,,,4.00% per annum,"$600,000.00 ",Monthly,Monthly,"$2,000 ",7/3/2019,12/3/2019,6/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1727 Dundas Street West,Old Toronto,"$1,735,000 ",Multi Tenant,,,Restaurant,6/3/2019,An individual(s) acting in his/her own capacity,,"Heather Claire Ross Davidson, ASO",2692185 Ontario Inc.  - Private Investor - Canadian,"Heather Claire Ross Davidson, ASO","#1-211 Sunnyside Avenue, Toronto, ON, M6R 2P8",Subsequent,Shinhan Bank Canada,,,Shinhan Bank Canada prime rate + 0.8% per annum,"$1,100,000.00 ",Monthly,Monthly,"$6,271.29 ",,,6/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1001 Eastern Avenue,Old Toronto,"$3,800,000 ",Single Tenant,,,Restaurant,5/31/2019,1001 Eastern Holdings Inc.,"Danielle St. George-Bigue, President","c/o Dashwood & Dashwood - Barristers and Solicitors, 961 Kingston Road, Toronto, Ontario, M4E 1S8",951894 Ontario Limited  - Private Investor - Canadian,"Jason Patton, ASO","1001 Eastern Avenue, Toronto, Ontario, M4L 1A8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,285 Dundas Street West,Old Toronto,"$2,000,000 ",Multi Tenant,,,Streetfront,5/31/2019,Ontario College of Art & Design University,"Peter Fraser, Director of Finance","Peter Fraser, Director of Finance",2698623 Ontario Ltd.  - Private Investor - Canadian,"Yu Tang, ASO","834 Brant Street, Burlington, Ontario, L7R 2J5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,507 Oakwood Avenue,York,"$1,000,000 ",Multi Tenant,,,Streetfront,5/31/2019,An individual(s) acting in his/her own capacity,,"Anthony Niro, ASO",2698041 Ontario Inc.  - Private Investor - Canadian,"Anthony Niro, ASO","100 MacIntosh Boulevard, Concord, Ontario, L4K 4P3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1600 Kerns Road,Burlington,"$4,500,000 ",Multi Tenant,,,Neighbourhood Shopping Centre,5/31/2019,Pogos Investments Limited,"Francesca Oliva, President","100 Upper Madison Avenue, Suite 2502, Toronto, Ontario, M2N 6M4",Fieldgate Properties (FGL Kerns Inc. )  - Private Investor - Canadian,"Noam Jakubovic, ASO","5400 Yonge Street, Suite 300, Toronto, Ontario, M2N 5R5",VTB,Vendor Financed,,,"4% per annum, interest only","$3,375,000.14 ",Monthly,,,6/30/2020,5/31/2022,5/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2851 Highway No. 7,Vaughan,"$6,260,000 ",Single Tenant,,,Free Standing,5/31/2019,Lorwood Holdings Incorporated,"Carmen Guglietti, President", 2851 Highway No. 7    -   1998-02-27,Melrose Investments Inc.  - Developer,"Silvio Guglietti, ASO","145 Reynolds Street, Suite 500, Oakville, Ontario, L6J 0A7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,2851 Highway No. 7,Vaughan,"$6,260,000 ",Single Tenant,,,Free Standing,5/31/2019,Lorwood Holdings Incorporated,"Carmen Guglietti, President", 2851 Highway No. 7    -   1998-02-27,Oakengates Investments Limited  - Private Investor - Canadian,"Antonio Guglietti, ASO","1 Bradwick Drive, Units 1 and 2, Vaughan, Ontario, L4K 2T4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
